acquisition_id,vehicle_id,dealership_id,acquisition_date,acquisition_source,acquisition_cost,reconditioning_cost,original_asking_price,msrp,initial_inventory_status,source_system
ACQ-00000027,VEH-0000027,GSA-003,2025-12-10,Lease Return,30081.78,1997.88,38667.38,,In Reconditioning,arpi_synthetic_generator
ACQ-00000028,VEH-0000028,GSA-001,2025-11-05,Dealer Trade,31700.38,496.53,40639.58,,In Stock,arpi_synthetic_generator
ACQ-00000029,VEH-0000029,GSA-002,2025-11-25,Off-street Purchase,13974.19,1075.33,19368.90,,In Stock,arpi_synthetic_generator
ACQ-00000030,VEH-0000030,GSA-002,2025-12-18,Auction,32559.20,1807.88,44395.08,,In Reconditioning,arpi_synthetic_generator
ACQ-00000031,VEH-0000031,GSA-002,2025-08-01,Customer Trade,33010.48,1453.07,45072.46,,In Reconditioning,arpi_synthetic_generator
ACQ-00000032,VEH-0000032,GSA-001,2025-08-22,Customer Trade,31493.83,979.99,40467.41,,In Stock,arpi_synthetic_generator
ACQ-00000033,VEH-0000033,GSA-002,2025-11-18,Customer Trade,21008.58,1652.55,31197.49,,In Reconditioning,arpi_synthetic_generator
ACQ-00000034,VEH-0000034,GSA-001,2025-12-03,Manufacturer Allocation,34319.94,85.00,39031.02,38443.07,In Transit,arpi_synthetic_generator
ACQ-00000035,VEH-0000035,GSA-001,2025-09-15,Manufacturer Allocation,42075.79,13.00,46192.98,46474.10,In Transit,arpi_synthetic_generator
ACQ-00000036,VEH-0000036,GSA-003,2025-12-23,Customer Trade,6734.26,1957.68,10492.28,,In Reconditioning,arpi_synthetic_generator
ACQ-00000037,VEH-0000037,GSA-003,2025-07-19,Customer Trade,8488.11,724.19,12676.13,,In Stock,arpi_synthetic_generator
ACQ-00000038,VEH-0000038,GSA-003,2025-10-01,Auction,14397.19,1027.07,18241.05,,In Stock,arpi_synthetic_generator
ACQ-00000039,VEH-0000039,GSA-001,2025-09-30,Customer Trade,7846.29,2360.04,13588.67,,In Reconditioning,arpi_synthetic_generator
ACQ-00000040,VEH-0000040,GSA-002,2025-10-22,Off-street Purchase,10038.52,1705.74,14703.85,,In Reconditioning,arpi_synthetic_generator
ACQ-00000041,VEH-0000041,GSA-002,2025-10-30,Manufacturer Allocation,28253.00,70.00,31980.33,31267.22,In Transit,arpi_synthetic_generator
ACQ-00000042,VEH-0000042,GSA-002,2025-06-03,Manufacturer Allocation,23524.78,151.00,25817.39,25724.76,In Transit,arpi_synthetic_generator
ACQ-00000043,VEH-0000043,GSA-003,2025-08-08,Auction,5844.90,1839.67,9573.26,,In Reconditioning,arpi_synthetic_generator
ACQ-00000044,VEH-0000044,GSA-003,2025-12-23,Auction,5169.12,1455.84,9249.01,,In Reconditioning,arpi_synthetic_generator
ACQ-00000045,VEH-0000045,GSA-003,2025-12-09,Customer Trade,22555.25,955.76,28445.22,,In Stock,arpi_synthetic_generator
ACQ-00000046,VEH-0000046,GSA-003,2025-12-12,Customer Trade,7759.58,2337.49,13355.74,,In Reconditioning,arpi_synthetic_generator
ACQ-00000047,VEH-0000047,GSA-001,2025-09-22,Manufacturer Allocation,35633.73,99.00,38412.01,38499.98,In Transit,arpi_synthetic_generator
ACQ-00000048,VEH-0000048,GSA-002,2025-11-05,Manufacturer Allocation,21298.93,31.00,23723.32,23528.57,In Transit,arpi_synthetic_generator
ACQ-00000049,VEH-0000049,GSA-002,2025-06-05,Manufacturer Allocation,22428.79,66.00,24888.05,24609.86,In Transit,arpi_synthetic_generator
ACQ-00000050,VEH-0000050,GSA-002,2025-10-13,Manufacturer Allocation,36929.31,123.00,39568.74,39565.73,In Transit,arpi_synthetic_generator
ACQ-00000051,VEH-0000051,GSA-001,2025-08-06,Manufacturer Allocation,42926.47,108.00,47432.17,47367.09,In Transit,arpi_synthetic_generator
ACQ-00000052,VEH-0000052,GSA-001,2025-08-28,Manufacturer Allocation,36254.57,128.00,39883.50,39502.42,In Transit,arpi_synthetic_generator
ACQ-00000053,VEH-0000053,GSA-002,2025-07-03,Lease Return,15458.10,2357.14,23266.15,,In Reconditioning,arpi_synthetic_generator
ACQ-00000054,VEH-0000054,GSA-003,2025-12-04,Customer Trade,10124.53,1484.27,14632.79,,In Reconditioning,arpi_synthetic_generator
ACQ-00000055,VEH-0000055,GSA-001,2025-12-11,Customer Trade,2994.52,1098.58,5252.48,,In Stock,arpi_synthetic_generator
ACQ-00000056,VEH-0000056,GSA-002,2025-09-30,Lease Return,28986.79,1925.91,39338.61,,In Reconditioning,arpi_synthetic_generator
ACQ-00000057,VEH-0000057,GSA-001,2025-09-09,Customer Trade,23677.99,3709.20,37993.18,,In Reconditioning,arpi_synthetic_generator
ACQ-00000058,VEH-0000058,GSA-003,2025-12-20,Customer Trade,2194.79,890.65,4307.68,,In Stock,arpi_synthetic_generator
ACQ-00000059,VEH-0000059,GSA-001,2025-06-17,Manufacturer Allocation,45113.67,95.00,49676.92,49909.80,In Transit,arpi_synthetic_generator
ACQ-00000060,VEH-0000060,GSA-003,2025-06-25,Customer Trade,31822.25,1369.94,47009.50,,In Reconditioning,arpi_synthetic_generator
ACQ-00000061,VEH-0000061,GSA-002,2025-08-28,Customer Trade,14123.95,3085.52,21005.31,,In Reconditioning,arpi_synthetic_generator
ACQ-00000062,VEH-0000062,GSA-001,2025-09-11,Manufacturer Allocation,35644.20,151.00,39442.17,38888.90,In Transit,arpi_synthetic_generator
ACQ-00000063,VEH-0000063,GSA-001,2025-12-09,Lease Return,11606.78,3337.76,20798.76,,In Reconditioning,arpi_synthetic_generator
ACQ-00000064,VEH-0000064,GSA-002,2025-06-04,Customer Trade,15186.22,1627.50,21355.98,,In Reconditioning,arpi_synthetic_generator
ACQ-00000065,VEH-0000065,GSA-001,2025-12-27,Manufacturer Allocation,35013.44,46.00,38813.62,38542.51,In Transit,arpi_synthetic_generator
ACQ-00000066,VEH-0000066,GSA-002,2025-05-21,Customer Trade,3848.51,1320.61,6461.56,,In Reconditioning,arpi_synthetic_generator
ACQ-00000067,VEH-0000067,GSA-001,2025-08-05,Manufacturer Allocation,36303.74,79.00,40505.86,40252.87,In Transit,arpi_synthetic_generator
ACQ-00000068,VEH-0000068,GSA-001,2025-12-16,Manufacturer Allocation,43963.10,135.00,47859.29,48689.05,In Transit,arpi_synthetic_generator
ACQ-00000069,VEH-0000069,GSA-002,2025-10-27,Manufacturer Allocation,27305.25,76.00,29958.76,30076.96,In Transit,arpi_synthetic_generator
ACQ-00000070,VEH-0000070,GSA-001,2025-07-08,Off-street Purchase,4079.86,1380.76,7469.95,,In Reconditioning,arpi_synthetic_generator
ACQ-00000071,VEH-0000071,GSA-001,2025-08-15,Customer Trade,26549.63,1629.04,37925.84,,In Reconditioning,arpi_synthetic_generator
ACQ-00000072,VEH-0000072,GSA-003,2025-04-23,Customer Trade,7785.33,2344.19,13195.11,,In Reconditioning,arpi_synthetic_generator
ACQ-00000073,VEH-0000073,GSA-001,2025-07-29,Lease Return,32049.81,3332.96,49018.72,,In Reconditioning,arpi_synthetic_generator
ACQ-00000074,VEH-0000074,GSA-003,2025-03-19,Dealer Trade,4106.18,1387.61,6967.43,,In Reconditioning,arpi_synthetic_generator
ACQ-00000075,VEH-0000075,GSA-003,2025-12-03,Lease Return,9036.64,1821.28,14200.45,,In Reconditioning,arpi_synthetic_generator
ACQ-00000076,VEH-0000076,GSA-002,2025-08-28,Manufacturer Allocation,23632.50,59.00,25655.19,25263.13,In Transit,arpi_synthetic_generator
ACQ-00000077,VEH-0000077,GSA-002,2025-09-25,Customer Trade,2269.11,909.97,4357.50,,In Stock,arpi_synthetic_generator
ACQ-00000078,VEH-0000078,GSA-001,2025-12-08,Lease Return,10586.29,2810.44,18143.65,,In Reconditioning,arpi_synthetic_generator
ACQ-00000079,VEH-0000079,GSA-002,2025-03-04,Dealer Trade,14453.61,2615.86,21170.92,,In Reconditioning,arpi_synthetic_generator
ACQ-00000080,VEH-0000080,GSA-001,2025-11-04,Manufacturer Allocation,37658.55,56.00,40917.26,40622.79,In Transit,arpi_synthetic_generator
ACQ-00000081,VEH-0000081,GSA-003,2025-08-14,Off-street Purchase,3397.25,1203.29,5993.44,,In Reconditioning,arpi_synthetic_generator
ACQ-00000082,VEH-0000082,GSA-002,2025-10-27,Customer Trade,23994.18,755.98,32939.67,,In Stock,arpi_synthetic_generator
ACQ-00000083,VEH-0000083,GSA-003,2025-12-01,Dealer Trade,2775.44,1041.61,5056.45,,In Stock,arpi_synthetic_generator
ACQ-00000084,VEH-0000084,GSA-002,2025-08-28,Manufacturer Allocation,21847.81,118.00,24153.88,24412.68,In Transit,arpi_synthetic_generator
ACQ-00000085,VEH-0000085,GSA-003,2025-08-22,Customer Trade,8251.42,1285.00,12504.75,,In Reconditioning,arpi_synthetic_generator
ACQ-00000086,VEH-0000086,GSA-002,2025-11-14,Auction,5232.62,1680.48,9878.70,,In Reconditioning,arpi_synthetic_generator
ACQ-00000087,VEH-0000087,GSA-002,2025-09-11,Lease Return,13490.85,1291.52,19817.66,,In Reconditioning,arpi_synthetic_generator
ACQ-00000088,VEH-0000088,GSA-002,2025-11-10,Off-street Purchase,10998.19,1830.50,17481.53,,In Reconditioning,arpi_synthetic_generator
ACQ-00000089,VEH-0000089,GSA-001,2025-05-01,Manufacturer Allocation,43924.17,62.00,48757.96,47944.77,In Transit,arpi_synthetic_generator
ACQ-00000090,VEH-0000090,GSA-001,2025-11-14,Manufacturer Allocation,36741.33,23.00,40105.94,40409.33,In Transit,arpi_synthetic_generator
ACQ-00000091,VEH-0000091,GSA-001,2025-09-19,Manufacturer Allocation,35960.54,81.00,40070.43,39690.71,In Transit,arpi_synthetic_generator
ACQ-00000092,VEH-0000092,GSA-003,2025-04-03,Customer Trade,8219.18,2456.99,14266.04,,In Reconditioning,arpi_synthetic_generator
ACQ-00000093,VEH-0000093,GSA-002,2025-03-13,Lease Return,12716.87,2651.40,20352.75,,In Reconditioning,arpi_synthetic_generator
ACQ-00000094,VEH-0000094,GSA-001,2025-10-23,Manufacturer Allocation,36202.50,135.00,40168.27,39799.41,In Transit,arpi_synthetic_generator
ACQ-00000095,VEH-0000095,GSA-003,2025-06-29,Auction,34536.03,1991.80,47539.14,,In Reconditioning,arpi_synthetic_generator
ACQ-00000096,VEH-0000096,GSA-003,2025-08-23,Off-street Purchase,12422.82,862.71,17465.01,,In Stock,arpi_synthetic_generator
ACQ-00000097,VEH-0000097,GSA-003,2025-09-29,Customer Trade,4535.02,1451.13,7415.66,,In Reconditioning,arpi_synthetic_generator
ACQ-00000098,VEH-0000098,GSA-002,2025-07-16,Manufacturer Allocation,35649.77,112.00,38846.03,38919.39,In Transit,arpi_synthetic_generator
ACQ-00000099,VEH-0000099,GSA-003,2025-05-08,Customer Trade,8164.41,2011.94,13522.22,,In Reconditioning,arpi_synthetic_generator
ACQ-00000100,VEH-0000100,GSA-002,2025-10-07,Manufacturer Allocation,35535.19,86.00,38954.53,38629.62,In Transit,arpi_synthetic_generator
ACQ-00000101,VEH-0000101,GSA-001,2025-10-20,Manufacturer Allocation,42503.86,156.00,48530.85,47863.63,In Transit,arpi_synthetic_generator
ACQ-00000102,VEH-0000102,GSA-002,2025-09-29,Auction,20435.77,2264.05,28899.37,,In Reconditioning,arpi_synthetic_generator
ACQ-00000103,VEH-0000103,GSA-001,2025-06-02,Customer Trade,7541.02,884.06,11216.32,,In Stock,arpi_synthetic_generator
ACQ-00000104,VEH-0000104,GSA-002,2025-07-02,Manufacturer Allocation,37099.59,81.00,40655.74,40601.42,In Transit,arpi_synthetic_generator
ACQ-00000105,VEH-0000105,GSA-003,2025-12-24,Customer Trade,27672.97,1979.45,38509.00,,In Reconditioning,arpi_synthetic_generator
ACQ-00000106,VEH-0000106,GSA-001,2025-08-08,Customer Trade,27113.48,2302.62,37599.78,,In Reconditioning,arpi_synthetic_generator
ACQ-00000107,VEH-0000107,GSA-002,2025-04-30,Manufacturer Allocation,28507.28,0.00,31991.84,31769.36,In Transit,arpi_synthetic_generator
ACQ-00000108,VEH-0000108,GSA-001,2025-11-17,Manufacturer Allocation,44480.39,60.00,49854.14,49588.00,In Transit,arpi_synthetic_generator
ACQ-00000109,VEH-0000109,GSA-003,2025-09-03,Dealer Trade,4376.46,1457.88,7795.50,,In Reconditioning,arpi_synthetic_generator
ACQ-00000110,VEH-0000110,GSA-002,2025-11-12,Auction,9663.20,1256.87,15221.22,,In Reconditioning,arpi_synthetic_generator
ACQ-00000111,VEH-0000111,GSA-001,2025-04-18,Manufacturer Allocation,34818.57,159.00,38003.96,38434.23,In Transit,arpi_synthetic_generator
ACQ-00000112,VEH-0000112,GSA-001,2025-08-26,Manufacturer Allocation,34414.23,107.00,37119.26,36952.38,In Transit,arpi_synthetic_generator
ACQ-00000113,VEH-0000113,GSA-001,2025-07-08,Manufacturer Allocation,45650.68,156.00,50548.45,49971.68,In Transit,arpi_synthetic_generator
ACQ-00000114,VEH-0000114,GSA-003,2025-06-06,Auction,2687.92,1018.86,4981.20,,In Stock,arpi_synthetic_generator
ACQ-00000115,VEH-0000115,GSA-003,2025-11-03,Customer Trade,30928.36,1537.88,41256.64,,In Reconditioning,arpi_synthetic_generator
ACQ-00000116,VEH-0000116,GSA-001,2025-12-24,Manufacturer Allocation,35956.16,159.00,39813.91,39414.64,In Transit,arpi_synthetic_generator
ACQ-00000117,VEH-0000117,GSA-002,2025-05-21,Lease Return,7751.16,2335.30,13883.42,,In Reconditioning,arpi_synthetic_generator
ACQ-00000118,VEH-0000118,GSA-001,2025-05-22,Manufacturer Allocation,35015.95,125.00,37811.09,38066.40,In Transit,arpi_synthetic_generator
ACQ-00000119,VEH-0000119,GSA-002,2025-08-21,Manufacturer Allocation,36689.31,114.00,39786.41,39685.01,In Transit,arpi_synthetic_generator
ACQ-00000120,VEH-0000120,GSA-001,2025-11-24,Manufacturer Allocation,35526.58,31.00,38113.29,38227.59,In Transit,arpi_synthetic_generator
ACQ-00000121,VEH-0000121,GSA-001,2025-08-30,Manufacturer Allocation,35038.17,151.00,38931.03,38997.68,In Transit,arpi_synthetic_generator
ACQ-00000122,VEH-0000122,GSA-001,2025-09-18,Dealer Trade,31139.29,856.84,40913.96,,In Stock,arpi_synthetic_generator
ACQ-00000123,VEH-0000123,GSA-001,2025-07-24,Auction,5631.09,766.01,8038.49,,In Stock,arpi_synthetic_generator
ACQ-00000124,VEH-0000124,GSA-003,2025-02-22,Auction,11044.89,1291.48,17055.65,,In Reconditioning,arpi_synthetic_generator
ACQ-00000125,VEH-0000125,GSA-001,2025-04-25,Manufacturer Allocation,44859.29,148.00,50054.13,50030.27,In Transit,arpi_synthetic_generator
ACQ-00000126,VEH-0000126,GSA-002,2025-06-24,Customer Trade,3380.61,1198.96,5559.86,,In Stock,arpi_synthetic_generator
ACQ-00000127,VEH-0000127,GSA-003,2025-07-04,Dealer Trade,7431.88,2252.29,11826.63,,In Reconditioning,arpi_synthetic_generator
ACQ-00000128,VEH-0000128,GSA-001,2025-10-25,Manufacturer Allocation,35938.68,44.00,39621.61,39589.11,In Transit,arpi_synthetic_generator
ACQ-00000129,VEH-0000129,GSA-001,2025-09-01,Off-street Purchase,41288.83,1193.46,56412.66,,In Stock,arpi_synthetic_generator
ACQ-00000130,VEH-0000130,GSA-002,2025-10-16,Manufacturer Allocation,28916.45,141.00,30865.54,30787.99,In Transit,arpi_synthetic_generator
ACQ-00000131,VEH-0000131,GSA-002,2025-10-15,Manufacturer Allocation,23585.09,95.00,26049.27,25935.21,In Transit,arpi_synthetic_generator
ACQ-00000132,VEH-0000132,GSA-002,2025-10-20,Off-street Purchase,1869.27,806.01,3457.36,,In Stock,arpi_synthetic_generator
ACQ-00000133,VEH-0000133,GSA-002,2025-06-16,Manufacturer Allocation,34732.17,58.00,39555.72,38459.13,In Transit,arpi_synthetic_generator
ACQ-00000134,VEH-0000134,GSA-003,2025-11-27,Customer Trade,3266.16,1169.20,5380.85,,In Stock,arpi_synthetic_generator
ACQ-00000135,VEH-0000135,GSA-002,2025-02-12,Auction,13310.83,2268.25,21347.36,,In Reconditioning,arpi_synthetic_generator
ACQ-00000136,VEH-0000136,GSA-003,2025-12-05,Lease Return,5192.87,1670.15,8673.62,,In Reconditioning,arpi_synthetic_generator
ACQ-00000137,VEH-0000137,GSA-002,2025-09-17,Customer Trade,17877.49,1873.81,25533.49,,In Reconditioning,arpi_synthetic_generator
ACQ-00000138,VEH-0000138,GSA-003,2025-11-22,Lease Return,15673.33,787.28,22542.25,,In Stock,arpi_synthetic_generator
ACQ-00000139,VEH-0000139,GSA-002,2025-08-19,Customer Trade,19280.48,1907.73,28083.45,,In Reconditioning,arpi_synthetic_generator
ACQ-00000140,VEH-0000140,GSA-001,2025-12-08,Auction,16233.75,2021.19,24838.49,,In Reconditioning,arpi_synthetic_generator
ACQ-00000141,VEH-0000141,GSA-002,2025-07-22,Customer Trade,6239.13,1942.17,10928.83,,In Reconditioning,arpi_synthetic_generator
ACQ-00000142,VEH-0000142,GSA-002,2025-08-05,Manufacturer Allocation,36196.59,64.00,39201.39,39362.94,In Transit,arpi_synthetic_generator
ACQ-00000143,VEH-0000143,GSA-002,2025-06-26,Dealer Trade,21561.51,748.84,27541.10,,In Stock,arpi_synthetic_generator
ACQ-00000144,VEH-0000144,GSA-003,2025-11-20,Customer Trade,9915.11,946.76,14905.19,,In Stock,arpi_synthetic_generator
ACQ-00000145,VEH-0000145,GSA-003,2025-07-12,Customer Trade,2942.71,1085.10,5413.13,,In Stock,arpi_synthetic_generator
ACQ-00000146,VEH-0000146,GSA-002,2025-07-23,Manufacturer Allocation,35824.47,119.00,38998.67,38859.98,In Transit,arpi_synthetic_generator
ACQ-00000147,VEH-0000147,GSA-001,2025-09-19,Auction,29984.24,1015.81,38173.28,,In Stock,arpi_synthetic_generator
ACQ-00000148,VEH-0000148,GSA-003,2025-06-25,Auction,29225.48,2440.48,44281.74,,In Reconditioning,arpi_synthetic_generator
ACQ-00000149,VEH-0000149,GSA-003,2025-10-14,Lease Return,23546.23,1507.57,33171.76,,In Reconditioning,arpi_synthetic_generator
ACQ-00000150,VEH-0000150,GSA-002,2025-11-24,Manufacturer Allocation,35831.92,81.00,39473.52,38790.34,In Transit,arpi_synthetic_generator
ACQ-00000151,VEH-0000151,GSA-001,2025-03-26,Lease Return,15289.06,2651.50,23861.27,,In Reconditioning,arpi_synthetic_generator
ACQ-00000152,VEH-0000152,GSA-002,2025-08-18,Manufacturer Allocation,29947.87,37.00,33400.08,32788.22,In Transit,arpi_synthetic_generator
ACQ-00000153,VEH-0000153,GSA-002,2025-10-20,Manufacturer Allocation,22029.56,88.00,24729.78,24800.86,In Transit,arpi_synthetic_generator
ACQ-00000154,VEH-0000154,GSA-003,2025-06-05,Lease Return,10796.42,1971.82,15736.12,,In Reconditioning,arpi_synthetic_generator
ACQ-00000155,VEH-0000155,GSA-002,2025-08-12,Manufacturer Allocation,37663.22,88.00,41375.73,40426.75,In Transit,arpi_synthetic_generator
ACQ-00000156,VEH-0000156,GSA-002,2025-07-15,Manufacturer Allocation,38110.11,26.00,40935.72,41499.41,In Transit,arpi_synthetic_generator
ACQ-00000157,VEH-0000157,GSA-003,2025-06-12,Auction,2669.77,1014.14,4960.76,,In Stock,arpi_synthetic_generator
ACQ-00000158,VEH-0000158,GSA-003,2025-06-09,Customer Trade,27445.80,1845.34,40684.49,,In Reconditioning,arpi_synthetic_generator
ACQ-00000159,VEH-0000159,GSA-002,2025-11-26,Manufacturer Allocation,23183.62,68.00,26197.89,25613.04,In Transit,arpi_synthetic_generator
ACQ-00000160,VEH-0000160,GSA-001,2025-12-19,Auction,27182.07,2407.95,37543.73,,In Reconditioning,arpi_synthetic_generator
ACQ-00000161,VEH-0000161,GSA-003,2025-06-26,Auction,29914.95,1366.97,40775.04,,In Reconditioning,arpi_synthetic_generator
ACQ-00000162,VEH-0000162,GSA-003,2025-12-31,Auction,12479.26,972.99,17293.14,,In Stock,arpi_synthetic_generator
ACQ-00000163,VEH-0000163,GSA-003,2025-06-26,Dealer Trade,26165.42,2391.39,36133.19,,In Reconditioning,arpi_synthetic_generator
ACQ-00000164,VEH-0000164,GSA-002,2025-09-30,Customer Trade,22487.00,1762.22,33021.04,,In Reconditioning,arpi_synthetic_generator
ACQ-00000165,VEH-0000165,GSA-003,2025-08-27,Customer Trade,2123.86,872.20,4116.21,,In Stock,arpi_synthetic_generator
ACQ-00000166,VEH-0000166,GSA-002,2025-08-11,Off-street Purchase,2539.03,980.15,4460.64,,In Stock,arpi_synthetic_generator
ACQ-00000167,VEH-0000167,GSA-001,2025-11-18,Customer Trade,10020.07,910.97,14429.07,,In Stock,arpi_synthetic_generator
ACQ-00000168,VEH-0000168,GSA-001,2025-10-22,Manufacturer Allocation,36924.48,65.00,39167.02,39588.68,In Transit,arpi_synthetic_generator
ACQ-00000169,VEH-0000169,GSA-001,2025-08-07,Lease Return,31043.79,3313.08,46181.13,,In Reconditioning,arpi_synthetic_generator
ACQ-00000170,VEH-0000170,GSA-001,2025-06-26,Customer Trade,5248.95,1684.73,9181.82,,In Reconditioning,arpi_synthetic_generator
ACQ-00000171,VEH-0000171,GSA-001,2025-07-09,Manufacturer Allocation,35094.70,52.00,37482.46,37520.43,In Transit,arpi_synthetic_generator
ACQ-00000172,VEH-0000172,GSA-003,2025-06-19,Lease Return,4619.05,1520.95,7943.80,,In Reconditioning,arpi_synthetic_generator
ACQ-00000173,VEH-0000173,GSA-002,2025-07-18,Manufacturer Allocation,36726.99,84.00,40254.80,40734.53,In Transit,arpi_synthetic_generator
ACQ-00000174,VEH-0000174,GSA-003,2025-07-21,Customer Trade,28798.96,611.27,38038.49,,In Stock,arpi_synthetic_generator
ACQ-00000175,VEH-0000175,GSA-001,2025-06-27,Auction,10858.83,3143.30,18813.85,,In Reconditioning,arpi_synthetic_generator
ACQ-00000176,VEH-0000176,GSA-002,2025-08-28,Auction,20851.26,2142.70,31472.78,,In Reconditioning,arpi_synthetic_generator
ACQ-00000177,VEH-0000177,GSA-001,2025-11-29,Manufacturer Allocation,34448.55,71.00,38321.69,37738.81,In Transit,arpi_synthetic_generator
ACQ-00000178,VEH-0000178,GSA-002,2025-06-27,Manufacturer Allocation,37404.73,97.00,41053.36,40563.31,In Transit,arpi_synthetic_generator
ACQ-00000179,VEH-0000179,GSA-001,2025-12-09,Customer Trade,1929.43,821.65,3511.21,,In Stock,arpi_synthetic_generator
ACQ-00000180,VEH-0000180,GSA-003,2025-05-06,Off-street Purchase,12743.38,3394.20,22215.40,,In Reconditioning,arpi_synthetic_generator
ACQ-00000181,VEH-0000181,GSA-003,2025-06-12,Customer Trade,8956.79,2318.82,14658.72,,In Reconditioning,arpi_synthetic_generator
ACQ-00000182,VEH-0000182,GSA-001,2025-07-02,Lease Return,31338.67,1175.33,40715.66,,In Stock,arpi_synthetic_generator
ACQ-00000183,VEH-0000183,GSA-003,2025-10-09,Customer Trade,7363.65,1299.84,11496.40,,In Reconditioning,arpi_synthetic_generator
ACQ-00000184,VEH-0000184,GSA-002,2025-06-16,Lease Return,20155.67,1547.62,31066.63,,In Reconditioning,arpi_synthetic_generator
ACQ-00000185,VEH-0000185,GSA-002,2025-10-10,Lease Return,2826.75,1054.96,5292.14,,In Stock,arpi_synthetic_generator
ACQ-00000186,VEH-0000186,GSA-002,2025-06-03,Manufacturer Allocation,22927.64,108.00,25061.34,25127.25,In Transit,arpi_synthetic_generator
ACQ-00000187,VEH-0000187,GSA-002,2025-11-01,Manufacturer Allocation,30559.71,61.00,33531.21,32849.84,In Transit,arpi_synthetic_generator
ACQ-00000188,VEH-0000188,GSA-002,2025-09-23,Customer Trade,6426.59,1990.91,11257.51,,In Reconditioning,arpi_synthetic_generator
ACQ-00000189,VEH-0000189,GSA-001,2025-06-26,Manufacturer Allocation,35276.31,116.00,39832.91,38949.31,In Transit,arpi_synthetic_generator
