product_sale_id,sale_id,sale_date,dealership_id,finance_manager_id,finance_product_id,lender_id,finance_structure,product_category,eligibility_rule_id,line_ordinal,product_sale_count,product_retail_price,product_dealer_cost,original_product_gross,contract_term_months,source_system
FPS-00000027,SLE-00000016,2025-07-05,GSA-002,EMP-00017,FP-001,LND-002,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,529.95,266.21,263.74,60,arpi_synthetic_generator
FPS-00000028,SLE-00000016,2025-07-05,GSA-002,EMP-00017,FP-011,LND-002,Retail Finance,Appearance Protection,ELIG-OTH,2,1,207.96,78.73,129.23,48,arpi_synthetic_generator
FPS-00000029,SLE-00000016,2025-07-05,GSA-002,EMP-00017,FP-012,LND-002,Retail Finance,Key Replacement,ELIG-OTH,3,1,100.22,39.56,60.66,48,arpi_synthetic_generator
FPS-00000030,SLE-00000018,2025-07-07,GSA-001,EMP-00005,FP-003,LND-006,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,1890.42,1013.08,877.34,84,arpi_synthetic_generator
FPS-00000031,SLE-00000018,2025-07-07,GSA-001,EMP-00005,FP-010,LND-006,Retail Finance,Appearance Protection,ELIG-OTH,2,1,569.19,192.26,376.93,60,arpi_synthetic_generator
FPS-00000032,SLE-00000019,2025-07-07,GSA-002,EMP-00017,FP-003,LND-002,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,1566.27,877.74,688.53,84,arpi_synthetic_generator
FPS-00000033,SLE-00000020,2025-07-07,GSA-002,EMP-00017,FP-005,LND-002,Retail Finance,GAP,ELIG-GAP,1,1,1948.49,659.17,1289.32,48,arpi_synthetic_generator
FPS-00000034,SLE-00000021,2025-07-08,GSA-002,EMP-00017,FP-004,LND-003,Retail Finance,GAP,ELIG-GAP,1,1,312.60,94.86,217.74,60,arpi_synthetic_generator
FPS-00000035,SLE-00000021,2025-07-08,GSA-002,EMP-00017,FP-013,LND-003,Retail Finance,Theft or Security Product,ELIG-OTH,2,1,212.14,65.40,146.74,60,arpi_synthetic_generator
FPS-00000036,SLE-00000021,2025-07-08,GSA-002,EMP-00017,FP-019,LND-003,Retail Finance,Other Aftermarket Product,ELIG-OTH,3,1,155.57,56.17,99.40,72,arpi_synthetic_generator
FPS-00000037,SLE-00000021,2025-07-08,GSA-002,EMP-00017,FP-018,LND-003,Retail Finance,Other Aftermarket Product,ELIG-OTH,4,1,192.25,69.18,123.07,24,arpi_synthetic_generator
FPS-00000038,SLE-00000022,2025-07-08,GSA-003,EMP-00028,FP-002,,Cash,Vehicle Service Contract,ELIG-VSC,1,1,2985.97,1598.58,1387.39,72,arpi_synthetic_generator
FPS-00000039,SLE-00000022,2025-07-08,GSA-003,EMP-00028,FP-013,,Cash,Theft or Security Product,ELIG-OTH,2,1,530.44,177.91,352.53,48,arpi_synthetic_generator
FPS-00000040,SLE-00000023,2025-07-08,GSA-001,EMP-00005,FP-001,LND-009,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,459.15,237.78,221.37,48,arpi_synthetic_generator
FPS-00000041,SLE-00000023,2025-07-08,GSA-001,EMP-00005,FP-005,LND-009,Retail Finance,GAP,ELIG-GAP,2,1,131.56,43.01,88.55,48,arpi_synthetic_generator
FPS-00000042,SLE-00000023,2025-07-08,GSA-001,EMP-00005,FP-013,LND-009,Retail Finance,Theft or Security Product,ELIG-OTH,3,1,101.63,33.01,68.62,60,arpi_synthetic_generator
FPS-00000043,SLE-00000023,2025-07-08,GSA-001,EMP-00005,FP-015,LND-009,Retail Finance,Paintless Dent Protection,ELIG-OTH,4,1,103.41,37.00,66.41,24,arpi_synthetic_generator
FPS-00000044,SLE-00000024,2025-07-09,GSA-002,EMP-00017,FP-006,LND-004,Retail Finance,Tire & Wheel,ELIG-TW,1,1,904.13,409.01,495.12,36,arpi_synthetic_generator
FPS-00000045,SLE-00000025,2025-07-09,GSA-001,EMP-00005,FP-002,LND-006,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,1089.37,573.18,516.19,84,arpi_synthetic_generator
FPS-00000046,SLE-00000025,2025-07-09,GSA-001,EMP-00005,FP-007,LND-006,Retail Finance,Tire & Wheel,ELIG-TW,2,1,449.24,191.15,258.09,36,arpi_synthetic_generator
FPS-00000047,SLE-00000025,2025-07-09,GSA-001,EMP-00005,FP-015,LND-006,Retail Finance,Paintless Dent Protection,ELIG-OTH,3,1,199.47,72.54,126.93,24,arpi_synthetic_generator
FPS-00000048,SLE-00000027,2025-07-09,GSA-002,EMP-00017,FP-002,LND-006,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,2026.78,1017.15,1009.63,72,arpi_synthetic_generator
FPS-00000049,SLE-00000028,2025-07-09,GSA-001,EMP-00005,FP-007,,Cash,Tire & Wheel,ELIG-TW,1,1,832.03,367.34,464.69,48,arpi_synthetic_generator
FPS-00000050,SLE-00000028,2025-07-09,GSA-001,EMP-00005,FP-011,,Cash,Appearance Protection,ELIG-OTH,2,1,573.27,199.99,373.28,36,arpi_synthetic_generator
FPS-00000051,SLE-00000029,2025-07-09,GSA-001,EMP-00005,FP-001,LND-006,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,1902.10,992.62,909.48,48,arpi_synthetic_generator
FPS-00000052,SLE-00000029,2025-07-09,GSA-001,EMP-00005,FP-004,LND-006,Retail Finance,GAP,ELIG-GAP,2,1,576.79,158.43,418.36,60,arpi_synthetic_generator
FPS-00000053,SLE-00000029,2025-07-09,GSA-001,EMP-00005,FP-011,LND-006,Retail Finance,Appearance Protection,ELIG-OTH,3,1,676.33,230.69,445.64,36,arpi_synthetic_generator
FPS-00000054,SLE-00000030,2025-07-10,GSA-003,EMP-00028,FP-010,,Cash,Appearance Protection,ELIG-OTH,1,1,3247.22,1030.92,2216.30,60,arpi_synthetic_generator
FPS-00000055,SLE-00000031,2025-07-11,GSA-002,EMP-00017,FP-001,LND-003,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,1489.02,774.96,714.06,60,arpi_synthetic_generator
FPS-00000056,SLE-00000031,2025-07-11,GSA-002,EMP-00017,FP-018,LND-003,Retail Finance,Other Aftermarket Product,ELIG-OTH,2,1,294.94,109.28,185.66,36,arpi_synthetic_generator
FPS-00000057,SLE-00000031,2025-07-11,GSA-002,EMP-00017,FP-019,LND-003,Retail Finance,Other Aftermarket Product,ELIG-OTH,3,1,222.46,72.51,149.95,60,arpi_synthetic_generator
FPS-00000058,SLE-00000032,2025-07-12,GSA-002,,FP-001,LND-009,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,422.66,219.61,203.05,60,arpi_synthetic_generator
FPS-00000059,SLE-00000032,2025-07-12,GSA-002,,FP-004,LND-009,Retail Finance,GAP,ELIG-GAP,2,1,133.63,40.22,93.41,72,arpi_synthetic_generator
FPS-00000060,SLE-00000032,2025-07-12,GSA-002,,FP-014,LND-009,Retail Finance,Paintless Dent Protection,ELIG-OTH,3,1,114.53,41.43,73.10,72,arpi_synthetic_generator
FPS-00000061,SLE-00000034,2025-07-12,GSA-002,EMP-00017,FP-002,LND-002,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,1269.07,665.69,603.38,72,arpi_synthetic_generator
FPS-00000062,SLE-00000035,2025-07-12,GSA-003,EMP-00028,FP-013,,Cash,Theft or Security Product,ELIG-OTH,1,1,3050.68,1002.94,2047.74,60,arpi_synthetic_generator
FPS-00000063,SLE-00000036,2025-07-12,GSA-002,EMP-00017,FP-006,,Cash,Tire & Wheel,ELIG-TW,1,1,486.01,223.66,262.35,36,arpi_synthetic_generator
FPS-00000064,SLE-00000036,2025-07-12,GSA-002,EMP-00017,FP-013,,Cash,Theft or Security Product,ELIG-OTH,2,1,235.50,79.10,156.40,72,arpi_synthetic_generator
FPS-00000065,SLE-00000037,2025-07-14,GSA-001,,FP-005,LND-001,Retail Finance,GAP,ELIG-GAP,1,1,574.05,179.08,394.97,60,arpi_synthetic_generator
FPS-00000066,SLE-00000037,2025-07-14,GSA-001,,FP-010,LND-001,Retail Finance,Appearance Protection,ELIG-OTH,2,1,884.13,311.42,572.71,60,arpi_synthetic_generator
FPS-00000067,SLE-00000038,2025-07-14,GSA-002,EMP-00017,FP-004,LND-002,Retail Finance,GAP,ELIG-GAP,1,1,867.25,250.76,616.49,72,arpi_synthetic_generator
FPS-00000068,SLE-00000038,2025-07-14,GSA-002,EMP-00017,FP-013,LND-002,Retail Finance,Theft or Security Product,ELIG-OTH,2,1,610.82,195.36,415.46,48,arpi_synthetic_generator
FPS-00000069,SLE-00000039,2025-07-14,GSA-001,EMP-00005,FP-004,LND-010,Retail Finance,GAP,ELIG-GAP,1,1,710.93,211.36,499.57,72,arpi_synthetic_generator
FPS-00000070,SLE-00000039,2025-07-14,GSA-001,EMP-00005,FP-012,LND-010,Retail Finance,Key Replacement,ELIG-OTH,2,1,404.78,154.99,249.79,48,arpi_synthetic_generator
FPS-00000071,SLE-00000040,2025-07-14,GSA-001,EMP-00005,FP-004,LND-004,Retail Finance,GAP,ELIG-GAP,1,1,1318.50,371.40,947.10,84,arpi_synthetic_generator
FPS-00000072,SLE-00000041,2025-07-14,GSA-003,EMP-00028,FP-002,LND-006,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,976.23,479.12,497.11,72,arpi_synthetic_generator
FPS-00000073,SLE-00000041,2025-07-14,GSA-003,EMP-00028,FP-010,LND-006,Retail Finance,Appearance Protection,ELIG-OTH,2,1,361.26,124.93,236.33,72,arpi_synthetic_generator
FPS-00000074,SLE-00000041,2025-07-14,GSA-003,EMP-00028,FP-013,LND-006,Retail Finance,Theft or Security Product,ELIG-OTH,3,1,179.17,52.85,126.32,60,arpi_synthetic_generator
FPS-00000075,SLE-00000042,2025-07-15,GSA-002,EMP-00017,FP-004,LND-006,Retail Finance,GAP,ELIG-GAP,1,1,388.84,114.28,274.56,72,arpi_synthetic_generator
FPS-00000076,SLE-00000042,2025-07-15,GSA-002,EMP-00017,FP-006,LND-006,Retail Finance,Tire & Wheel,ELIG-TW,2,1,584.88,274.51,310.37,36,arpi_synthetic_generator
FPS-00000077,SLE-00000043,2025-07-15,GSA-003,EMP-00028,FP-001,LND-004,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,629.26,340.34,288.92,48,arpi_synthetic_generator
FPS-00000078,SLE-00000043,2025-07-15,GSA-003,EMP-00028,FP-004,LND-004,Retail Finance,GAP,ELIG-GAP,2,1,192.85,59.95,132.90,72,arpi_synthetic_generator
FPS-00000079,SLE-00000043,2025-07-15,GSA-003,EMP-00028,FP-007,LND-004,Retail Finance,Tire & Wheel,ELIG-TW,3,1,308.33,132.09,176.24,36,arpi_synthetic_generator
FPS-00000080,SLE-00000043,2025-07-15,GSA-003,EMP-00028,FP-012,LND-004,Retail Finance,Key Replacement,ELIG-OTH,4,1,110.99,44.54,66.45,60,arpi_synthetic_generator
FPS-00000081,SLE-00000044,2025-07-15,GSA-003,EMP-00028,FP-004,LND-010,Retail Finance,GAP,ELIG-GAP,1,1,1178.64,344.48,834.16,60,arpi_synthetic_generator
FPS-00000082,SLE-00000045,2025-07-15,GSA-001,EMP-00005,FP-001,LND-001,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,876.97,450.75,426.22,72,arpi_synthetic_generator
FPS-00000083,SLE-00000045,2025-07-15,GSA-001,EMP-00005,FP-005,LND-001,Retail Finance,GAP,ELIG-GAP,2,1,259.85,89.36,170.49,60,arpi_synthetic_generator
FPS-00000084,SLE-00000045,2025-07-15,GSA-001,EMP-00005,FP-013,LND-001,Retail Finance,Theft or Security Product,ELIG-OTH,3,1,194.47,62.34,132.13,60,arpi_synthetic_generator
FPS-00000085,SLE-00000046,2025-07-15,GSA-003,EMP-00028,FP-005,LND-006,Retail Finance,GAP,ELIG-GAP,1,1,450.20,136.13,314.07,48,arpi_synthetic_generator
FPS-00000086,SLE-00000046,2025-07-15,GSA-003,EMP-00028,FP-006,LND-006,Retail Finance,Tire & Wheel,ELIG-TW,2,1,724.77,316.47,408.30,36,arpi_synthetic_generator
FPS-00000087,SLE-00000047,2025-07-15,GSA-001,EMP-00005,FP-006,,Cash,Tire & Wheel,ELIG-TW,1,1,2246.69,1075.14,1171.55,36,arpi_synthetic_generator
FPS-00000088,SLE-00000048,2025-07-15,GSA-003,EMP-00028,FP-002,LND-004,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,1212.23,622.64,589.59,72,arpi_synthetic_generator
FPS-00000089,SLE-00000048,2025-07-15,GSA-003,EMP-00028,FP-004,LND-004,Retail Finance,GAP,ELIG-GAP,2,1,319.98,97.67,222.31,72,arpi_synthetic_generator
FPS-00000090,SLE-00000048,2025-07-15,GSA-003,EMP-00028,FP-011,LND-004,Retail Finance,Appearance Protection,ELIG-OTH,3,1,374.29,137.49,236.80,48,arpi_synthetic_generator
FPS-00000091,SLE-00000049,2025-07-15,GSA-001,EMP-00005,FP-010,,Cash,Appearance Protection,ELIG-OTH,1,1,1069.07,336.76,732.31,72,arpi_synthetic_generator
FPS-00000092,SLE-00000049,2025-07-15,GSA-001,EMP-00005,FP-014,,Cash,Paintless Dent Protection,ELIG-OTH,2,1,700.92,246.38,454.54,60,arpi_synthetic_generator
FPS-00000093,SLE-00000050,2025-07-15,GSA-002,EMP-00017,FP-013,,Cash,Theft or Security Product,ELIG-OTH,1,1,1083.29,326.17,757.12,60,arpi_synthetic_generator
FPS-00000094,SLE-00000051,2025-07-15,GSA-002,EMP-00017,FP-002,LND-010,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,2535.08,1273.61,1261.47,72,arpi_synthetic_generator
FPS-00000095,SLE-00000051,2025-07-15,GSA-002,EMP-00017,FP-006,LND-010,Retail Finance,Tire & Wheel,ELIG-TW,2,1,1045.55,507.87,537.68,48,arpi_synthetic_generator
FPS-00000096,SLE-00000052,2025-07-16,GSA-002,EMP-00017,FP-018,,Cash,Other Aftermarket Product,ELIG-OTH,1,1,3423.48,1242.76,2180.72,48,arpi_synthetic_generator
FPS-00000097,SLE-00000054,2025-07-16,GSA-003,EMP-00028,FP-013,LND-003,Retail Finance,Theft or Security Product,ELIG-OTH,1,1,1866.73,602.11,1264.62,48,arpi_synthetic_generator
FPS-00000098,SLE-00000055,2025-07-16,GSA-003,EMP-00028,FP-003,,Cash,Vehicle Service Contract,ELIG-VSC,1,1,1756.92,949.64,807.28,84,arpi_synthetic_generator
FPS-00000099,SLE-00000056,2025-07-16,GSA-001,EMP-00005,FP-005,LND-001,Retail Finance,GAP,ELIG-GAP,1,1,235.69,74.67,161.02,48,arpi_synthetic_generator
FPS-00000100,SLE-00000056,2025-07-16,GSA-001,EMP-00005,FP-015,LND-001,Retail Finance,Paintless Dent Protection,ELIG-OTH,2,1,186.48,65.71,120.77,24,arpi_synthetic_generator
FPS-00000101,SLE-00000057,2025-07-17,GSA-003,,FP-013,LND-005,Retail Finance,Theft or Security Product,ELIG-OTH,1,1,904.80,265.78,639.02,72,arpi_synthetic_generator
FPS-00000102,SLE-00000057,2025-07-17,GSA-003,,FP-015,LND-005,Retail Finance,Paintless Dent Protection,ELIG-OTH,2,1,953.60,335.19,618.41,36,arpi_synthetic_generator
FPS-00000103,SLE-00000058,2025-07-17,GSA-001,EMP-00005,FP-004,LND-003,Retail Finance,GAP,ELIG-GAP,1,1,1742.51,530.66,1211.85,60,arpi_synthetic_generator
FPS-00000104,SLE-00000060,2025-07-17,GSA-002,EMP-00017,FP-017,LND-003,Lease,Lease Wear Protection,ELIG-LWP,1,1,1256.51,490.00,766.51,27,arpi_synthetic_generator
FPS-00000105,SLE-00000061,2025-07-17,GSA-002,,FP-007,LND-003,Retail Finance,Tire & Wheel,ELIG-TW,1,1,761.77,328.55,433.22,36,arpi_synthetic_generator
FPS-00000106,SLE-00000062,2025-07-18,GSA-002,EMP-00017,FP-003,LND-002,Lease,Vehicle Service Contract,ELIG-VSC,1,1,1268.94,680.18,588.76,84,arpi_synthetic_generator
FPS-00000107,SLE-00000062,2025-07-18,GSA-002,EMP-00017,FP-008,LND-002,Lease,Prepaid Maintenance,ELIG-PPM,2,1,317.83,169.55,148.28,36,arpi_synthetic_generator
FPS-00000108,SLE-00000063,2025-07-18,GSA-002,EMP-00017,FP-003,LND-009,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,1333.80,748.63,585.17,84,arpi_synthetic_generator
FPS-00000109,SLE-00000064,2025-07-18,GSA-001,EMP-00005,FP-005,LND-001,Retail Finance,GAP,ELIG-GAP,1,1,673.89,219.92,453.97,60,arpi_synthetic_generator
FPS-00000110,SLE-00000065,2025-07-19,GSA-002,EMP-00017,FP-001,LND-009,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,1088.71,582.36,506.35,60,arpi_synthetic_generator
FPS-00000111,SLE-00000066,2025-07-19,GSA-003,EMP-00028,FP-011,LND-007,Retail Finance,Appearance Protection,ELIG-OTH,1,1,1236.74,416.24,820.50,60,arpi_synthetic_generator
FPS-00000112,SLE-00000067,2025-07-19,GSA-001,EMP-00005,FP-006,LND-003,Retail Finance,Tire & Wheel,ELIG-TW,1,1,509.91,243.72,266.19,36,arpi_synthetic_generator
FPS-00000113,SLE-00000067,2025-07-19,GSA-001,EMP-00005,FP-014,LND-003,Retail Finance,Paintless Dent Protection,ELIG-OTH,2,1,286.73,102.45,184.28,60,arpi_synthetic_generator
FPS-00000114,SLE-00000067,2025-07-19,GSA-001,EMP-00005,FP-019,LND-003,Retail Finance,Other Aftermarket Product,ELIG-OTH,3,1,164.04,56.54,107.50,72,arpi_synthetic_generator
FPS-00000115,SLE-00000068,2025-07-19,GSA-002,EMP-00017,FP-003,LND-003,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,793.17,423.94,369.23,84,arpi_synthetic_generator
FPS-00000116,SLE-00000068,2025-07-19,GSA-002,EMP-00017,FP-007,LND-003,Retail Finance,Tire & Wheel,ELIG-TW,2,1,294.81,127.97,166.84,48,arpi_synthetic_generator
FPS-00000117,SLE-00000068,2025-07-19,GSA-002,EMP-00017,FP-010,LND-003,Retail Finance,Appearance Protection,ELIG-OTH,3,1,245.04,86.41,158.63,72,arpi_synthetic_generator
FPS-00000118,SLE-00000068,2025-07-19,GSA-002,EMP-00017,FP-012,LND-003,Retail Finance,Key Replacement,ELIG-OTH,4,1,103.89,40.98,62.91,48,arpi_synthetic_generator
FPS-00000119,SLE-00000069,2025-07-20,GSA-001,EMP-00005,FP-014,,Cash,Paintless Dent Protection,ELIG-OTH,1,1,2187.68,761.24,1426.44,48,arpi_synthetic_generator
FPS-00000120,SLE-00000070,2025-07-21,GSA-003,EMP-00028,FP-003,LND-003,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,2299.05,1226.36,1072.69,84,arpi_synthetic_generator
FPS-00000121,SLE-00000070,2025-07-21,GSA-003,EMP-00028,FP-012,LND-003,Retail Finance,Key Replacement,ELIG-OTH,2,1,294.02,111.26,182.76,48,arpi_synthetic_generator
FPS-00000122,SLE-00000072,2025-07-21,GSA-003,EMP-00028,FP-004,LND-010,Retail Finance,GAP,ELIG-GAP,1,1,577.39,162.38,415.01,72,arpi_synthetic_generator
FPS-00000123,SLE-00000072,2025-07-21,GSA-003,EMP-00028,FP-007,LND-010,Retail Finance,Tire & Wheel,ELIG-TW,2,1,966.20,415.86,550.34,36,arpi_synthetic_generator
FPS-00000124,SLE-00000073,2025-07-21,GSA-001,EMP-00005,FP-001,LND-001,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,1292.87,670.90,621.97,60,arpi_synthetic_generator
FPS-00000125,SLE-00000073,2025-07-21,GSA-001,EMP-00005,FP-005,LND-001,Retail Finance,GAP,ELIG-GAP,2,1,360.95,112.16,248.79,48,arpi_synthetic_generator
FPS-00000126,SLE-00000073,2025-07-21,GSA-001,EMP-00005,FP-013,LND-001,Retail Finance,Theft or Security Product,ELIG-OTH,3,1,288.00,95.19,192.81,60,arpi_synthetic_generator
FPS-00000127,SLE-00000074,2025-07-21,GSA-001,EMP-00005,FP-005,LND-001,Retail Finance,GAP,ELIG-GAP,1,1,338.88,103.65,235.23,60,arpi_synthetic_generator
FPS-00000128,SLE-00000074,2025-07-21,GSA-001,EMP-00005,FP-011,LND-001,Retail Finance,Appearance Protection,ELIG-OTH,2,1,453.83,165.67,288.16,36,arpi_synthetic_generator
FPS-00000129,SLE-00000075,2025-07-21,GSA-001,,FP-002,LND-008,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,1279.41,626.83,652.58,72,arpi_synthetic_generator
FPS-00000130,SLE-00000075,2025-07-21,GSA-001,,FP-004,LND-008,Retail Finance,GAP,ELIG-GAP,2,1,351.29,105.23,246.06,72,arpi_synthetic_generator
FPS-00000131,SLE-00000075,2025-07-21,GSA-001,,FP-007,LND-008,Retail Finance,Tire & Wheel,ELIG-TW,3,1,579.41,253.12,326.29,60,arpi_synthetic_generator
FPS-00000132,SLE-00000075,2025-07-21,GSA-001,,FP-015,LND-008,Retail Finance,Paintless Dent Protection,ELIG-OTH,4,1,246.37,85.90,160.47,36,arpi_synthetic_generator
FPS-00000133,SLE-00000076,2025-07-21,GSA-001,EMP-00005,FP-007,,Cash,Tire & Wheel,ELIG-TW,1,1,1917.70,833.53,1084.17,48,arpi_synthetic_generator
FPS-00000134,SLE-00000077,2025-07-22,GSA-002,EMP-00017,FP-003,LND-009,Retail Finance,Vehicle Service Contract,ELIG-VSC,1,1,1253.18,662.42,590.76,96,arpi_synthetic_generator
FPS-00000135,SLE-00000077,2025-07-22,GSA-002,EMP-00017,FP-004,LND-009,Retail Finance,GAP,ELIG-GAP,2,1,283.14,81.84,201.30,72,arpi_synthetic_generator
FPS-00000136,SLE-00000077,2025-07-22,GSA-002,EMP-00017,FP-015,LND-009,Retail Finance,Paintless Dent Protection,ELIG-OTH,3,1,212.24,80.96,131.28,48,arpi_synthetic_generator
FPS-00000137,SLE-00000078,2025-07-22,GSA-003,EMP-00028,FP-015,LND-004,Retail Finance,Paintless Dent Protection,ELIG-OTH,1,1,533.42,194.17,339.25,24,arpi_synthetic_generator
FPS-00000138,SLE-00000078,2025-07-22,GSA-003,EMP-00028,FP-019,LND-004,Retail Finance,Other Aftermarket Product,ELIG-OTH,2,1,368.61,131.14,237.47,48,arpi_synthetic_generator
