vehicle_key,vehicle_id,synthetic_vin,vehicle_model_key,vehicle_model_id,condition_type,exterior_color,interior_color,odometer_reading,odometer_band,acquisition_source,source_system
50,VEH-0000050,ARPI91093X4C4WWV8,119,VMD-00119,New,Sunlit Yellow,Medium Ash Gray,16,New,Manufacturer Allocation,arpi_synthetic_generator
51,VEH-0000051,ARPI0X72YYWFFE3S3,113,VMD-00113,New,Cayenne Orange,Slate Gray,25,New,Manufacturer Allocation,arpi_synthetic_generator
52,VEH-0000052,ARPIA2TPDG225WH6A,104,VMD-00104,New,Silver Ice,Jet Black,14,New,Manufacturer Allocation,arpi_synthetic_generator
53,VEH-0000053,ARPIVGAFDD5NTYJT5,77,VMD-00077,Certified,Sandstone Beige,Saddle Tan,47134,30k-60k,Lease Return,arpi_synthetic_generator
54,VEH-0000054,ARPIKBNWB24GFAS92,68,VMD-00068,Used,Autumn Green,Jet Black,32028,30k-60k,Customer Trade,arpi_synthetic_generator
55,VEH-0000055,ARPIMEUY16USTFCFT,8,VMD-00008,Used,Mosaic Black,Jet Black,162722,Over 100k,Customer Trade,arpi_synthetic_generator
56,VEH-0000056,ARPI3UB6T8XUPCE4T,108,VMD-00108,Certified,Crystal Black Silica,Jet Black,12038,10k-30k,Lease Return,arpi_synthetic_generator
57,VEH-0000057,ARPIGPZXLE5GET911,90,VMD-00090,Certified,Ice Silver,Jet Black,21660,10k-30k,Customer Trade,arpi_synthetic_generator
58,VEH-0000058,ARPITSNR17MA55B3K,5,VMD-00005,Used,Cayenne Orange,Slate Gray,119131,Over 100k,Customer Trade,arpi_synthetic_generator
59,VEH-0000059,ARPIUL5H0DXNE2ZH7,113,VMD-00113,New,Silver Ice,Jet Black,38,New,Manufacturer Allocation,arpi_synthetic_generator
60,VEH-0000060,ARPIFAR8JG17MSUAS,111,VMD-00111,Used,Sunlit Yellow,Jet Black,5537,Under 10k,Customer Trade,arpi_synthetic_generator
61,VEH-0000061,ARPIN276AMULRJJDC,75,VMD-00075,Certified,Mosaic Black,Medium Ash Gray,32809,30k-60k,Customer Trade,arpi_synthetic_generator
62,VEH-0000062,ARPIJ5XKBX1FVV1N1,104,VMD-00104,New,Mosaic Black,Saddle Tan,23,New,Manufacturer Allocation,arpi_synthetic_generator
63,VEH-0000063,ARPITB9XP2CWD5L8T,50,VMD-00050,Certified,Sandstone Beige,Slate Gray,59612,30k-60k,Lease Return,arpi_synthetic_generator
64,VEH-0000064,ARPIG4J3ERM46SNW7,100,VMD-00100,Certified,Summit White,Jet Black,24557,10k-30k,Customer Trade,arpi_synthetic_generator
65,VEH-0000065,ARPIL2HJP6M1F525C,103,VMD-00103,New,Mosaic Black,Jet Black,9,New,Manufacturer Allocation,arpi_synthetic_generator
66,VEH-0000066,ARPISRNBTUCXF7U4M,19,VMD-00019,Used,Northsky Blue,Slate Gray,84891,60k-100k,Customer Trade,arpi_synthetic_generator
67,VEH-0000067,ARPIK4TH3C5GJ1ECL,112,VMD-00112,New,Mosaic Black,Slate Gray,28,New,Manufacturer Allocation,arpi_synthetic_generator
68,VEH-0000068,ARPIWR9XSTBXVSZ71,113,VMD-00113,New,Northsky Blue,Jet Black,6,New,Manufacturer Allocation,arpi_synthetic_generator
69,VEH-0000069,ARPIRWYET78SVESXW,101,VMD-00101,New,Cherry Red,Jet Black,20,New,Manufacturer Allocation,arpi_synthetic_generator
70,VEH-0000070,ARPIF2ZBY64D6PJAW,29,VMD-00029,Used,Magnetite Gray,Jet Black,106802,Over 100k,Off-street Purchase,arpi_synthetic_generator
71,VEH-0000071,ARPIS48UGXD4AWVSH,88,VMD-00088,Used,Summit White,Slate Gray,24350,10k-30k,Customer Trade,arpi_synthetic_generator
72,VEH-0000072,ARPIUS7YA91M5CHHP,34,VMD-00034,Used,Silver Ice,Jet Black,74333,60k-100k,Customer Trade,arpi_synthetic_generator
73,VEH-0000073,ARPIBYBSKN22EPL0Z,103,VMD-00103,Certified,Silver Ice,Slate Gray,10367,10k-30k,Lease Return,arpi_synthetic_generator
74,VEH-0000074,ARPIZ00LWKM8TXR17,23,VMD-00023,Used,Mosaic Black,Jet Black,51583,30k-60k,Dealer Trade,arpi_synthetic_generator
75,VEH-0000075,ARPIA081J1EM5W7JU,34,VMD-00034,Used,Mosaic Black,Saddle Tan,70401,60k-100k,Lease Return,arpi_synthetic_generator
76,VEH-0000076,ARPIMWKEXZSXA5VER,109,VMD-00109,New,Summit White,Slate Gray,44,New,Manufacturer Allocation,arpi_synthetic_generator
77,VEH-0000077,ARPIXV3UDTN1FPJGC,5,VMD-00005,Used,Magnetite Gray,Medium Ash Gray,73952,60k-100k,Customer Trade,arpi_synthetic_generator
78,VEH-0000078,ARPIFGKFBKBZL0HFX,61,VMD-00061,Certified,Summit White,Warm Ivory,30716,30k-60k,Lease Return,arpi_synthetic_generator
79,VEH-0000079,ARPIAP4RVDZMRFYMT,55,VMD-00055,Used,Mosaic Black,Slate Gray,42972,30k-60k,Dealer Trade,arpi_synthetic_generator
80,VEH-0000080,ARPIR4138H5ZJ5Z0E,112,VMD-00112,New,Magnetite Gray,Titanium,18,New,Manufacturer Allocation,arpi_synthetic_generator
81,VEH-0000081,ARPIX6C69ZC8RVXCK,20,VMD-00020,Used,Cherry Red,Slate Gray,91055,60k-100k,Off-street Purchase,arpi_synthetic_generator
82,VEH-0000082,ARPICNDU9GDUGCL9U,97,VMD-00097,Used,Crystal Black Silica,Warm Ivory,22825,10k-30k,Customer Trade,arpi_synthetic_generator
83,VEH-0000083,ARPI0WG3AMYGC7C07,2,VMD-00002,Used,Magnetite Gray,Saddle Tan,150226,Over 100k,Dealer Trade,arpi_synthetic_generator
84,VEH-0000084,ARPID57MA145VAHGG,109,VMD-00109,New,Crystal Black Silica,Warm Ivory,50,New,Manufacturer Allocation,arpi_synthetic_generator
85,VEH-0000085,ARPIWEEJAUCTX88DR,69,VMD-00069,Used,Sunlit Yellow,Jet Black,62161,60k-100k,Customer Trade,arpi_synthetic_generator
86,VEH-0000086,ARPIZGWEA8JWGUVUU,46,VMD-00046,Used,Cherry Red,Slate Gray,72206,60k-100k,Auction,arpi_synthetic_generator
87,VEH-0000087,ARPI6FKGXDUPUM02P,84,VMD-00084,Certified,Northsky Blue,Jet Black,35588,30k-60k,Lease Return,arpi_synthetic_generator
88,VEH-0000088,ARPI72H7MR0EAX6JG,56,VMD-00056,Used,Summit White,Saddle Tan,61359,60k-100k,Off-street Purchase,arpi_synthetic_generator
89,VEH-0000089,ARPITU4N19NX92121,115,VMD-00115,New,Crystal Black Silica,Jet Black,37,New,Manufacturer Allocation,arpi_synthetic_generator
90,VEH-0000090,ARPIEB9ULD5VZENSU,117,VMD-00117,New,Mosaic Black,Warm Ivory,34,New,Manufacturer Allocation,arpi_synthetic_generator
91,VEH-0000091,ARPIMVMFLSJG4W2J9,117,VMD-00117,New,Crystal Black Silica,Titanium,43,New,Manufacturer Allocation,arpi_synthetic_generator
92,VEH-0000092,ARPIYUU3XC1VHEL08,41,VMD-00041,Used,Cherry Red,Jet Black,101487,Over 100k,Customer Trade,arpi_synthetic_generator
93,VEH-0000093,ARPIMSNTRN2TNZHE1,75,VMD-00075,Certified,Cayenne Orange,Jet Black,41053,30k-60k,Lease Return,arpi_synthetic_generator
94,VEH-0000094,ARPIMWJH2E9FB70FS,111,VMD-00111,New,Silver Ice,Slate Gray,9,New,Manufacturer Allocation,arpi_synthetic_generator
95,VEH-0000095,ARPI0WAFSJV7N7DYP,116,VMD-00116,Used,Silver Ice,Jet Black,8967,Under 10k,Auction,arpi_synthetic_generator
96,VEH-0000096,ARPIBRZGM8YFR3N2P,83,VMD-00083,Used,Crystal Black Silica,Medium Ash Gray,34383,30k-60k,Off-street Purchase,arpi_synthetic_generator
97,VEH-0000097,ARPISSXYHK27FK4EL,39,VMD-00039,Used,Sandstone Beige,Slate Gray,92570,60k-100k,Customer Trade,arpi_synthetic_generator
98,VEH-0000098,ARPI3P6D34AYVWDY0,118,VMD-00118,New,Crystal Black Silica,Warm Ivory,15,New,Manufacturer Allocation,arpi_synthetic_generator
99,VEH-0000099,ARPIEUH5VZHDKMLX3,61,VMD-00061,Used,Silver Ice,Slate Gray,54319,30k-60k,Customer Trade,arpi_synthetic_generator
100,VEH-0000100,ARPI2ZMRFW74UJMMN,108,VMD-00108,New,Magnetite Gray,Warm Ivory,38,New,Manufacturer Allocation,arpi_synthetic_generator
101,VEH-0000101,ARPIST7HV13Z5GPN1,89,VMD-00089,New,Sunlit Yellow,Slate Gray,37,New,Manufacturer Allocation,arpi_synthetic_generator
102,VEH-0000102,ARPISYVPL72765VGS,101,VMD-00101,Used,Silver Ice,Slate Gray,33311,30k-60k,Auction,arpi_synthetic_generator
103,VEH-0000103,ARPICA8LJMKHE46RS,27,VMD-00027,Used,Silver Ice,Medium Ash Gray,50205,30k-60k,Customer Trade,arpi_synthetic_generator
104,VEH-0000104,ARPIZXZZ9BPDSHXGW,119,VMD-00119,New,Mosaic Black,Warm Ivory,43,New,Manufacturer Allocation,arpi_synthetic_generator
105,VEH-0000105,ARPIKY6B2FPZF44F6,103,VMD-00103,Used,Magnetite Gray,Jet Black,19466,10k-30k,Customer Trade,arpi_synthetic_generator
106,VEH-0000106,ARPI36XM5TBB9CDLJ,103,VMD-00103,Used,Sandstone Beige,Jet Black,10417,10k-30k,Customer Trade,arpi_synthetic_generator
107,VEH-0000107,ARPI3N0LF3S6PBX91,120,VMD-00120,New,Ice Silver,Jet Black,8,New,Manufacturer Allocation,arpi_synthetic_generator
108,VEH-0000108,ARPIR4N5SGJ4K3WA9,113,VMD-00113,New,Autumn Green,Medium Ash Gray,33,New,Manufacturer Allocation,arpi_synthetic_generator
109,VEH-0000109,ARPIK4X0PR9L1444B,14,VMD-00014,Used,Sandstone Beige,Saddle Tan,62477,60k-100k,Dealer Trade,arpi_synthetic_generator
110,VEH-0000110,ARPILV6VXZX1JGSBU,56,VMD-00056,Used,Mosaic Black,Medium Ash Gray,90782,60k-100k,Auction,arpi_synthetic_generator
111,VEH-0000111,ARPI7U92N2N4157VV,103,VMD-00103,New,Cayenne Orange,Jet Black,41,New,Manufacturer Allocation,arpi_synthetic_generator
112,VEH-0000112,ARPI13Z7N5TSXDN23,90,VMD-00090,New,Crystal Black Silica,Warm Ivory,20,New,Manufacturer Allocation,arpi_synthetic_generator
113,VEH-0000113,ARPIP062WJX5KF6NG,114,VMD-00114,New,Summit White,Jet Black,39,New,Manufacturer Allocation,arpi_synthetic_generator
114,VEH-0000114,ARPIG1T3YFX0GBYEP,14,VMD-00014,Used,Silver Ice,Medium Ash Gray,101675,Over 100k,Auction,arpi_synthetic_generator
115,VEH-0000115,ARPIUA2UHWXK06AHE,111,VMD-00111,Used,Sandstone Beige,Slate Gray,11633,10k-30k,Customer Trade,arpi_synthetic_generator
116,VEH-0000116,ARPIKGS4AYLGWEMHS,111,VMD-00111,New,Mosaic Black,Titanium,13,New,Manufacturer Allocation,arpi_synthetic_generator
117,VEH-0000117,ARPI0HB54623E810J,47,VMD-00047,Certified,Summit White,Warm Ivory,51042,30k-60k,Lease Return,arpi_synthetic_generator
118,VEH-0000118,ARPIFE3S1S1HZDZ0W,104,VMD-00104,New,Mosaic Black,Saddle Tan,31,New,Manufacturer Allocation,arpi_synthetic_generator
119,VEH-0000119,ARPI5XCECW4RGM4VU,106,VMD-00106,New,Silver Ice,Medium Ash Gray,6,New,Manufacturer Allocation,arpi_synthetic_generator
120,VEH-0000120,ARPI8MNZRCT887B9H,105,VMD-00105,New,Crystal Black Silica,Jet Black,18,New,Manufacturer Allocation,arpi_synthetic_generator
121,VEH-0000121,ARPI1C5875VV46BA9,104,VMD-00104,New,Magnetite Gray,Jet Black,5,New,Manufacturer Allocation,arpi_synthetic_generator
122,VEH-0000122,ARPIGR0B5A2U6ZK5E,89,VMD-00089,Used,Silver Ice,Medium Ash Gray,30184,30k-60k,Dealer Trade,arpi_synthetic_generator
123,VEH-0000123,ARPIVZH3YZBCSU9FR,28,VMD-00028,Used,Northsky Blue,Jet Black,75489,60k-100k,Auction,arpi_synthetic_generator
124,VEH-0000124,ARPIMH6HE26PWFAMJ,53,VMD-00053,Used,Summit White,Medium Ash Gray,53558,30k-60k,Auction,arpi_synthetic_generator
125,VEH-0000125,ARPIRUK57KRG5HVNG,113,VMD-00113,New,Summit White,Warm Ivory,31,New,Manufacturer Allocation,arpi_synthetic_generator
126,VEH-0000126,ARPI0TL9HKJ4U6J9C,32,VMD-00032,Used,Crystal Black Silica,Warm Ivory,124693,Over 100k,Customer Trade,arpi_synthetic_generator
127,VEH-0000127,ARPICSTGVEUV1Z5GG,38,VMD-00038,Used,Mosaic Black,Saddle Tan,89045,60k-100k,Dealer Trade,arpi_synthetic_generator
128,VEH-0000128,ARPIXVVMNHC9YVW3L,112,VMD-00112,New,Autumn Green,Medium Ash Gray,49,New,Manufacturer Allocation,arpi_synthetic_generator
129,VEH-0000129,ARPI47ZYSE8SXMYLS,116,VMD-00116,Used,Mosaic Black,Jet Black,13343,10k-30k,Off-street Purchase,arpi_synthetic_generator
130,VEH-0000130,ARPIEEBU0RG2C5RC1,101,VMD-00101,New,Mosaic Black,Slate Gray,49,New,Manufacturer Allocation,arpi_synthetic_generator
131,VEH-0000131,ARPIU5R0NA4HZMHZX,109,VMD-00109,New,Summit White,Medium Ash Gray,38,New,Manufacturer Allocation,arpi_synthetic_generator
132,VEH-0000132,ARPIE2J3K0WJCZY82,23,VMD-00023,Used,Crystal Black Silica,Medium Ash Gray,113788,Over 100k,Off-street Purchase,arpi_synthetic_generator
133,VEH-0000133,ARPI56NW67PU7M4TV,106,VMD-00106,New,Cayenne Orange,Medium Ash Gray,46,New,Manufacturer Allocation,arpi_synthetic_generator
134,VEH-0000134,ARPIZ1Y5H4JEEYLYT,20,VMD-00020,Used,Magnetite Gray,Warm Ivory,91175,60k-100k,Customer Trade,arpi_synthetic_generator
135,VEH-0000135,ARPILR94GX3LW6V1E,56,VMD-00056,Used,Summit White,Slate Gray,36439,30k-60k,Auction,arpi_synthetic_generator
136,VEH-0000136,ARPIDYC7UZPL98WAV,40,VMD-00040,Used,Sandstone Beige,Warm Ivory,82164,60k-100k,Lease Return,arpi_synthetic_generator
137,VEH-0000137,ARPIC0ADPUDZLVMDG,101,VMD-00101,Used,Summit White,Medium Ash Gray,21610,10k-30k,Customer Trade,arpi_synthetic_generator
138,VEH-0000138,ARPI1J57DPP428H6T,49,VMD-00049,Used,Magnetite Gray,Medium Ash Gray,33370,30k-60k,Lease Return,arpi_synthetic_generator
139,VEH-0000139,ARPI5F4WEBY35KB8R,85,VMD-00085,Used,Magnetite Gray,Slate Gray,23796,10k-30k,Customer Trade,arpi_synthetic_generator
140,VEH-0000140,ARPIYE0H7618323MV,95,VMD-00095,Used,Summit White,Medium Ash Gray,21084,10k-30k,Auction,arpi_synthetic_generator
141,VEH-0000141,ARPINMTWAG1J5MX0E,47,VMD-00047,Certified,Autumn Green,Medium Ash Gray,62211,60k-100k,Customer Trade,arpi_synthetic_generator
142,VEH-0000142,ARPIYH2ATB3JTMY8P,106,VMD-00106,New,Northsky Blue,Slate Gray,16,New,Manufacturer Allocation,arpi_synthetic_generator
143,VEH-0000143,ARPIBHVKHGL8RT2L2,110,VMD-00110,Used,Cayenne Orange,Jet Black,8544,Under 10k,Dealer Trade,arpi_synthetic_generator
144,VEH-0000144,ARPIUKN8L29C6XWR8,69,VMD-00069,Used,Sunlit Yellow,Medium Ash Gray,36996,30k-60k,Customer Trade,arpi_synthetic_generator
145,VEH-0000145,ARPITN8M8XKACM1AT,18,VMD-00018,Used,Ice Silver,Warm Ivory,100454,Over 100k,Customer Trade,arpi_synthetic_generator
146,VEH-0000146,ARPIS8URAS5WDAU6H,119,VMD-00119,New,Cherry Red,Saddle Tan,9,New,Manufacturer Allocation,arpi_synthetic_generator
147,VEH-0000147,ARPIZZN730S1322K8,103,VMD-00103,Used,Silver Ice,Jet Black,18040,10k-30k,Auction,arpi_synthetic_generator
148,VEH-0000148,ARPIXSSN1HUEKJG2D,92,VMD-00092,Used,Cherry Red,Slate Gray,28922,10k-30k,Auction,arpi_synthetic_generator
149,VEH-0000149,ARPIB22ZJZU9J2912,120,VMD-00120,Used,Ice Silver,Jet Black,11168,10k-30k,Lease Return,arpi_synthetic_generator
150,VEH-0000150,ARPIVYLB5AFZHS545,118,VMD-00118,New,Summit White,Warm Ivory,26,New,Manufacturer Allocation,arpi_synthetic_generator
151,VEH-0000151,ARPIGGGF2NEGD92HM,62,VMD-00062,Certified,Summit White,Slate Gray,41332,30k-60k,Lease Return,arpi_synthetic_generator
152,VEH-0000152,ARPITNWYEMEF73CP8,120,VMD-00120,New,Mosaic Black,Titanium,8,New,Manufacturer Allocation,arpi_synthetic_generator
153,VEH-0000153,ARPIPU7DDU6TFZ8EC,100,VMD-00100,New,Sandstone Beige,Jet Black,47,New,Manufacturer Allocation,arpi_synthetic_generator
154,VEH-0000154,ARPI05YEPZ19XE25L,36,VMD-00036,Used,Northsky Blue,Slate Gray,43768,30k-60k,Lease Return,arpi_synthetic_generator
155,VEH-0000155,ARPIXS7JJAUYUDC2S,119,VMD-00119,New,Crystal Black Silica,Medium Ash Gray,17,New,Manufacturer Allocation,arpi_synthetic_generator
156,VEH-0000156,ARPI798S8YDSE05R7,119,VMD-00119,New,Northsky Blue,Medium Ash Gray,39,New,Manufacturer Allocation,arpi_synthetic_generator
157,VEH-0000157,ARPI7Y0U4HRUYFAY3,21,VMD-00021,Used,Silver Ice,Medium Ash Gray,118638,Over 100k,Auction,arpi_synthetic_generator
158,VEH-0000158,ARPIHF6RX25TW0S8C,103,VMD-00103,Used,Northsky Blue,Medium Ash Gray,14065,10k-30k,Customer Trade,arpi_synthetic_generator
159,VEH-0000159,ARPI0F2XKPE3LYPVF,110,VMD-00110,New,Summit White,Slate Gray,12,New,Manufacturer Allocation,arpi_synthetic_generator
160,VEH-0000160,ARPIAXPBHZDVUD4EP,88,VMD-00088,Used,Sandstone Beige,Medium Ash Gray,33780,30k-60k,Auction,arpi_synthetic_generator
161,VEH-0000161,ARPIL0D284YSWCN61,104,VMD-00104,Used,Autumn Green,Slate Gray,12653,10k-30k,Auction,arpi_synthetic_generator
162,VEH-0000162,ARPIUXB8RK268K1LD,50,VMD-00050,Used,Summit White,Jet Black,58952,30k-60k,Auction,arpi_synthetic_generator
163,VEH-0000163,ARPIW4D6AW3YBEJUC,97,VMD-00097,Used,Sunlit Yellow,Titanium,24414,10k-30k,Dealer Trade,arpi_synthetic_generator
164,VEH-0000164,ARPI5W2WCBGKU4VHH,78,VMD-00078,Used,Autumn Green,Medium Ash Gray,53062,30k-60k,Customer Trade,arpi_synthetic_generator
165,VEH-0000165,ARPI9SF865SD51C4K,5,VMD-00005,Used,Northsky Blue,Medium Ash Gray,165062,Over 100k,Customer Trade,arpi_synthetic_generator
166,VEH-0000166,ARPIUCVFH5WRMM442,14,VMD-00014,Used,Mosaic Black,Jet Black,117606,Over 100k,Off-street Purchase,arpi_synthetic_generator
167,VEH-0000167,ARPI48U6Z066YLR7D,65,VMD-00065,Used,Autumn Green,Saddle Tan,30353,30k-60k,Customer Trade,arpi_synthetic_generator
168,VEH-0000168,ARPI877WTZ31RP8YK,103,VMD-00103,New,Autumn Green,Medium Ash Gray,6,New,Manufacturer Allocation,arpi_synthetic_generator
169,VEH-0000169,ARPI0F51193DFBWVB,104,VMD-00104,Certified,Autumn Green,Warm Ivory,6012,Under 10k,Lease Return,arpi_synthetic_generator
170,VEH-0000170,ARPI6FD6ME57ZPR2D,19,VMD-00019,Used,Silver Ice,Jet Black,53909,30k-60k,Customer Trade,arpi_synthetic_generator
